student_id,class_id,class_test_id,test_order,test_name,raw_grade,max_grade,grade_percent,is_makeup,makeup_grade,grade_final,grade_status,is_cheating,grade_note,nhan_tai_thoi_diem,scraped_at
18972,1159,501,1,Test 1,60.5,100,60.5,FALSE,,60.5,confirmed,FALSE,,Vàng,2026-07-27
18972,1159,502,2,Test 2,70.0,100,70.0,FALSE,,70.0,confirmed,FALSE,,Vàng,2026-07-27
18972,1159,503,3,Test 3,70.5,100,70.5,FALSE,,70.5,confirmed,FALSE,,Vàng,2026-07-27
18972,1159,504,4,Test 4,56.0,100,56.0,FALSE,,56.0,confirmed,FALSE,,Vàng,2026-07-27
17759,1159,505,1,Test 1,67.5,100,67.5,FALSE,,67.5,confirmed,FALSE,,Vàng,2026-07-27
17759,1159,506,2,Test 2,60.0,100,60.0,FALSE,,60.0,confirmed,FALSE,,Vàng,2026-07-27
17759,1159,507,3,Test 3,57.5,100,57.5,FALSE,,57.5,confirmed,FALSE,,Vàng,2026-07-27
18717,1159,508,1,Test 1,93.5,100,93.5,FALSE,,93.5,confirmed,FALSE,,Vàng,2026-07-27
18717,1159,509,2,Test 2,85.0,100,85.0,FALSE,,85.0,confirmed,FALSE,,Vàng,2026-07-27
18717,1159,510,3,Test 3,91.5,100,91.5,FALSE,,91.5,confirmed,FALSE,,Vàng,2026-07-27
18717,1159,511,4,Test 4,93.0,100,93.0,FALSE,,93.0,confirmed,FALSE,,Vàng,2026-07-27
18496,1159,512,1,Test 1,77.0,100,77.0,FALSE,,77.0,confirmed,FALSE,,Vàng,2026-07-27
18496,1159,513,2,Test 2,83.1,100,83.1,FALSE,,83.1,confirmed,FALSE,,Vàng,2026-07-27
18496,1159,514,3,Test 3,71.0,100,71.0,FALSE,,71.0,confirmed,FALSE,,Vàng,2026-07-27
18496,1159,515,4,Test 4,83.0,100,83.0,FALSE,,83.0,confirmed,FALSE,,Vàng,2026-07-27
19428,1159,516,1,Test 1,54.0,100,54.0,FALSE,,54.0,confirmed,FALSE,,Đỏ,2026-07-27
19428,1159,517,2,Test 2,70.5,100,70.5,FALSE,,70.5,confirmed,FALSE,,Vàng,2026-07-27
19428,1159,518,3,Test 3,76.0,100,76.0,FALSE,,76.0,confirmed,FALSE,,Vàng,2026-07-27
19428,1159,519,4,Test 4,84.0,100,84.0,FALSE,,84.0,confirmed,FALSE,,Vàng,2026-07-27
19465,1159,520,1,Test 1,50.0,100,50.0,FALSE,,50.0,confirmed,FALSE,,Đỏ,2026-07-27
19465,1159,521,2,Test 2,47.5,100,47.5,FALSE,,47.5,confirmed,FALSE,,Đỏ,2026-07-27
19465,1159,522,3,Test 3,46.0,100,46.0,FALSE,,46.0,confirmed,FALSE,,Đỏ,2026-07-27
19465,1159,523,4,Test 4,51.0,100,51.0,FALSE,,51.0,confirmed,FALSE,,Đỏ,2026-07-27
19352,1159,524,1,Test 1,77.0,100,77.0,FALSE,,77.0,confirmed,FALSE,,Vàng,2026-07-27
19352,1159,525,2,Test 2,71.0,100,71.0,FALSE,,71.0,confirmed,FALSE,,Vàng,2026-07-27
19352,1159,526,3,Test 3,83.0,100,83.0,FALSE,,83.0,confirmed,FALSE,,Vàng,2026-07-27
19352,1159,527,4,Test 4,74.5,100,74.5,FALSE,,74.5,confirmed,FALSE,,Vàng,2026-07-27
18292,1159,528,1,Test 1,69.5,100,69.5,FALSE,,69.5,confirmed,FALSE,,Vàng,2026-07-27
18292,1159,529,2,Test 2,71.0,100,71.0,FALSE,,71.0,confirmed,FALSE,,Vàng,2026-07-27
18292,1159,530,3,Test 3,65.5,100,65.5,FALSE,,65.5,confirmed,FALSE,,Vàng,2026-07-27
18292,1159,531,4,Test 4,84.0,100,84.0,FALSE,,84.0,confirmed,FALSE,,Vàng,2026-07-27
10377,1159,532,1,Test 1,87.5,100,87.5,FALSE,,87.5,confirmed,FALSE,,Vàng,2026-07-27
10377,1159,533,2,Test 2,93.0,100,93.0,FALSE,,93.0,confirmed,FALSE,,Vàng,2026-07-27
10377,1159,534,3,Test 3,95.5,100,95.5,FALSE,,95.5,confirmed,FALSE,,Vàng,2026-07-27
10162,1159,535,1,Test 1,35.0,100,35.0,TRUE,43.5,43.5,confirmed,FALSE,,Xám,2026-07-27
10162,1159,536,2,Test 2,46.5,100,46.5,TRUE,54.5,54.5,confirmed,FALSE,,Đỏ,2026-07-27
10162,1159,537,3,Test 3,50.0,100,50.0,FALSE,,50.0,confirmed,FALSE,,Đỏ,2026-07-27
10162,1159,538,4,Test 4,57.0,100,57.0,FALSE,,57.0,confirmed,FALSE,,Đỏ,2026-07-27
17958,1159,539,1,Test 1,55.0,100,55.0,FALSE,,55.0,confirmed,FALSE,,Đỏ,2026-07-27
17958,1159,540,2,Test 2,42.0,100,42.0,FALSE,,42.0,confirmed,FALSE,,Đỏ,2026-07-27
17958,1159,541,3,Test 3,60.5,100,60.5,FALSE,,60.5,confirmed,FALSE,,Đỏ,2026-07-27
19483,1159,542,1,Test 1,74.0,100,74.0,FALSE,,74.0,confirmed,FALSE,,Vàng,2026-07-27
19483,1159,543,2,Test 2,57.5,100,57.5,TRUE,60.0,60.0,confirmed,FALSE,,Vàng,2026-07-27
19483,1159,544,4,Test 4,67.5,100,67.5,FALSE,,67.5,confirmed,FALSE,,Vàng,2026-07-27
19384,1159,545,1,Test 1,72.0,100,72.0,FALSE,,72.0,confirmed,FALSE,,Vàng,2026-07-27
19384,1159,546,2,Test 2,75.0,100,75.0,FALSE,,75.0,confirmed,FALSE,,Vàng,2026-07-27
19384,1159,547,3,Test 3,82.0,100,82.0,FALSE,,82.0,confirmed,FALSE,,Vàng,2026-07-27
16497,1159,548,4,Test 4,86.0,100,86.0,FALSE,,86.0,confirmed,FALSE,,Vàng,2026-07-27
19346,1159,549,1,Test 1,60.0,100,60.0,FALSE,,60.0,confirmed,FALSE,,Vàng,2026-07-27
19346,1159,550,2,Test 2,73.0,100,73.0,FALSE,,73.0,confirmed,FALSE,,Vàng,2026-07-27
19346,1159,551,3,Test 3,63.0,100,63.0,FALSE,,63.0,confirmed,FALSE,,Vàng,2026-07-27
19346,1159,552,4,Test 4,55.0,100,55.0,FALSE,,55.0,confirmed,FALSE,,Vàng,2026-07-27
17953,1159,553,2,Test 2,62.0,100,62.0,FALSE,,62.0,confirmed,FALSE,,Vàng,2026-07-27
17953,1159,554,3,Test 3,66.5,100,66.5,FALSE,,66.5,confirmed,FALSE,,Vàng,2026-07-27
17953,1159,555,4,Test 4,69.5,100,69.5,FALSE,,69.5,confirmed,FALSE,,Vàng,2026-07-27
18782,1159,556,1,Test 1,69.0,100,69.0,FALSE,,69.0,confirmed,FALSE,,Vàng,2026-07-27
